Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
PROCEDIMIENTOS ADMINISTRATIVOS DE LOS TRIBUNALES DE JUSTICIA,PROCEDIMIENTOS ADMINISTRATIVOS DE LOS TRIBUNALES DE JUSTICIA,IPP,IPP,Procedimientos Administrativos de los Tribunales de Justicia,"El Resultado General de Aprendizajes será que el estudiante adquiera los conocimientos básicos que rigen la organización administrativa y su manejo, la gestión de los diversos procedimientos administrativos que regulan la tramitación judicial y el conocimiento de las modificantes recientes a la tramitación digital, traspasando los conocimientos adquiridos al trabajo en la plataforma virtual, tanto en la Oficina Judicial Virtual como en la revisión de las causas mediante el Portal del Poder Judicial.","Vigencia. Año de dictación. Ámbito de aplicación respecto de los tribunales de justicia del país. Principios formativos. Uso obligatorio del sistema informático, respaldo y conservación en los tribunales del país. Firma electrónica de resoluciones y actuaciones del tribunal y copias autorizadas. Presentación de demandas y escritos. Presentación de documentos. Patrocinio y poder electrónico. Otras formas de notificación y estado diario. Registro de actuaciones de receptores. Exhortos. Oficios y comunicaciones judiciales. Modificación de diversos cuerpos legales. Regulación mediante auto acordados que complementan la Ley de Tramitación Electrónica. Principios de la tramitación ante los tribunales de familia. Sistema Informativo Tramitación ante los Tribunales de Familia (SIFTA) Uso de Herramientas Tecnológicas. Registros administrativos del Tribunal. Resoluciones y Registro de Audiencia. Tramitación de Causas. Notificaciones y Atención del Público. Principales Modificaciones de la Ley 20.886 y sus actas complementarias. Tramitación Ante los Tribunales Civiles. Nociones Generales. Modificaciones en la presentación de documentos ley 20.886. Nuevas formas de notificación. Información en el Portal del Poder Judicial. Cambios en la tramitación de Recursos Procesales. Otras modificaciones a los tribunales civiles de la ley 20.886. Procedimientos ante los juzgados laborales y de Cobranza Laboral. Principios. Medios tecnológicos, en particular, el Sistema de Tramitación ante los Juzgados de Cobranza (SITCO) Atención al Público. Audiencias. Notificaciones. El sistema computacional de las cortes. Módulo de oficinas de parte, su funcionamiento y principios generales. Módulo de secretaría. Tramitación. Sistema de tabulación. Sistema de tablas. ","Ley N° 20886 sobre Tramitación Electrónica.  https://www.bcn.cl/leychile/navegar?idNorma=1085545​ 
 
Auto Acordado Acta 71-2016 que complementa la Ley N° 20.886 artículos 1 al 70 https://www.bcn.cl/leychile/navegar?idNorma=1092334 
 
Código Orgánico de Tribunales artículos 25 y 26 	
https://www.bcn.cl/leychile/navegar?idNorma=25563​ ","Manual Ingreso Demandas y Escritos Oficina Judicial Virtual, Poder Judicial. https://www.pjud.cl/docs/download/57615​ 
 
Autoacordado que regula el funcionamiento de los Tribunales de Familia https://www.pjud.cl/docs/download/57621 
 
Acta 54-2014 Que regula la tramitación electrónica de los tribunales civiles. https://www.pjud.cl/docs/download/57627 ",,,"TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ,TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ",0630P21 - 1er Año - 2A,Específica,,,,0630P21,6593,,2A,1er Año,
PROCEDIMIENTOS DE LA JUSTICIA DE POLICÍA LOCAL,PROCEDIMIENTOS DE LA JUSTICIA DE POLICÍA LOCAL,IPP,IPP,Procedimientos de la Justicia de Policía Local,"El Resultado General de Aprendizaje será que el estudiante comprende, identifique y distinga los distintos asuntos que son de conocimiento de los Tribunales de Justicia de policía local y los procedimientos que rigen estos juzgados.","Características y fines de la justicia local. Funciones, requisitos y prohibiciones que tiene un Juez de Policía Local. Fuentes y antecedentes históricos. Normas orgánicas que reglamentan el funcionamiento de los juzgados de Policía Local. Reglas de competencia de los tribunales locales. Significado, procedencia y sujetos activos respecto de la denuncia de la autoridad. Ley de tránsito y ley de alcoholes. Procedimientos derivados de la Ley de Tránsito. Elaborar una querella infraccional y la demanda por indemnización de perjuicios en materias de tránsito. Paralelo entre los procedimientos de la Ley de Tránsito de conocimiento de Policía Local y los que son competencia de los juzgados en lo Penal del Poder Judicial. Procedimientos derivados de la ley de alcoholes. Los procedimientos derivados de la Ley de Protección al Consumidor o Ley Sernac. Los procedimientos derivados del Derecho Ley de Rentas municipales. ","Manual para Procedimientos Juzgado de Policía Local. I. Municipalidad de Talca
Ley N° 15.231. ORGANIZACIÓN Y ATRIBUCIONES DE LOS JUZGADOS DE POLICÍA LOCAL
Ley N° 18.287. PROCEDIMIENTO ANTE LOS JUZGADOS DE POLICÍA LOCAL
Ley N° 15.231. ORGANIZACIÓN Y ATRIBUCIONES DE LOS JUZGADOS DE POLICÍA LOCAL
Ley N° 18.287. PROCEDIMIENTO ANTE LOS JUZGADOS DE POLICÍA LOCAL
Ley N° 18.290. LEY DE TRÁNSITO
Ley N° 19.925. LEY SOBRE EXPENDIO Y CONSUMO DE BEBIDAS ALCOHÓLICAS
Ley N° 21.363. LEY MODIFICA LA LEY N° 19.925
DL N° 3063 del Ministerio del Interior sobre rentas municipales",,,,"TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ,TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ",0630P43 - 2do Año - 2A,Específica,,,,0630P43,6603,,2A,2do Año,
PROCESAMIENTO DE DATOS,PROCESAMIENTO DE DATOS,IPP,IPP,Procesamiento de Datos,"El resultado General de Aprendizaje de esta asignatura permitirá que el estudiante adquiera las competencias lógicas y técnicas necesarias para desarrollarse y desenvolverse en su campo profesional, aplicando procesamiento y manipulación de datos en cualquier ámbito personal o laboral, y en cualquier sector o industria. Además, incorporará el uso de herramientas de programación y librerías más utilizadas en la actualidad para el desarrollo de proyectos futuros en este campo. 	","Introducción a Python. El lenguaje de programación. Instalando Python: ambientes de trabajo online y trabajo offline. Primeros ejercicios en Python. Funciones en Python. Introducción a NumPy. ¿Qué es NumPy? Entendiendo los tipos de datos en Python. Arreglos en NumPy. Funciones Universales. Agregaciones (min, max, median) Introducción a Pandas. ¿Qué es Pandas? Objetos de Pandas. Dataframes. Series. Índices. Manipulación de datos con NumPy. Comparaciones, máscaras y lógica booleana. Matriz booleana. Manipulación de datos con Pandas. Selección de datos. Transformaciones vectoriales y no vectoriales. Combinación de datasets. Concat, append y join. Ordenando datos con Pandas. Agregaciones y agrupaciones. Tablas pivot. Operaciones con strings. Análisis exploratorio de datos. Funciones para explorar el dataset. Matplotlib: Tips generales. Histogramas, Boxplots. Análisis desde los gráficos. ",Módulo de estudio elaborado por el experto del espacio curricular a ser producido por IPP. ,"AprendeIA con Ligdi Gonzalez, INTRODUCCIÓN DE LA LIBRERÍA MATPLOTLIB DE PYTHON - PARTE 1 | #7 Curso Machine Learning con Python, https://youtu.be/2VeHtuqW3YY 

AprendeIA con Ligdi Gonzalez, INTRODUCCIÓN DE LA LIBRERÍA MATPLOTLIB DE PYTHON - PARTE 2 | #8 Curso Machine Learning con Python, https://youtu.be/7ZjYXt5R1LU 

Feregrino – That C# guy, Breve introducción al análisis exploratorio de datos, https://www.youtube.com/watch?v=s7A1OxEeT6o  

MARCO JULIO CAÑAS CAMPILLO, Análisis exploratorio de datos con Pandas y SeaBorn), https://www.youtube.com/watch?v=DhmO0nmTwhc
",,,DISEÑO Y DESARROLLO DE IA,0451P13 - 1er Año - 2B,Específica,PROCESAMIENTO DE DATOS - 2B-2025,Finalizado,0%,0451P13,7098,,2B,1er Año,
PROCESAMIENTO NATURAL DEL LENGUAJE NPL,PROCESAMIENTO NATURAL DEL LENGUAJE NPL,IPP,IPP,Procesamiento Natural del Lenguaje NPL,,,,,,,,,,PROCESAMIENTO NATURAL DEL LENGUAJE NPL - 1B-2025,Finalizado,NaN,0451P33,7104,,,,
PROCESO DE RECLUTAMIENTO,PROCESO DE RECLUTAMIENTO,IPP,IPP,Proceso de Reclutamiento,"Analiza los conceptos de gestión de personas y de naturaleza administrativa, reconociendo su importancia y aplicación dentro del Proceso de Reclutamiento en un contexto teórico.
Analiza las fases del proceso de reclutamiento, señalando sus características principales junto a los actores que participan dentro de este proceso.
Clasifica las distintas necesidades del proceso de reclutamiento, para así poder diferenciar entre los roles y perfiles técnicos y profesionales existentes que requiera una organización.
Analiza un perfil de cargo considerando su rol, objetivos, funciones y tareas, señalando sus usos y aplicaciones con respecto a lo que la organización solicita.
", Talento humano. Competitividad.  Reclutamiento. Atracción del talento. Naturaleza táctica y estratégica. Introducción al proceso de reclutamiento. Rol del reclutador y su importancia dentro de las organizaciones. Descripción del puesto de trabajo. Publicación. Preselección. Pruebas de evaluación y referencias. Entrevistas. Finalización.  Reconocer la vacante. Definir proceso de selección. Promoción. Determinación de necesidades. Rol. Perfil profesional. Perfil técnico.  Definición. Contenido de un perfil de cargo. Importancia perfil de cargo,,,,,"RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,TÉCNICO EN RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,GESTIÓN DEL TALENTO HUMANO",0391P11 - 1er Año - 1A,Específica,,,,0391P11,7133,,1A,1er Año,
PROCESO Y ESTRATEGIA DE MEJORA,PROCESO Y ESTRATEGIA DE MEJORA,IPP,IPP,Proceso y Estrategia de Mejora,"""Comprender los fundamentos de la gestión por procesos y su importancia estratégica en las organizaciones.
Aplicar principios de normalización y certificación de calidad.
Implementar estrategias de mejora, auditoría y acciones correctivas orientadas al cumplimiento normativo y la certificación.""",Introducción a los procesos. Enfoque en los procesos. División del trabajo. Concepto de entrada y salida. Recursos necesarios. Normalización y certificación. Introducción y definición de la norma ISO 9001. Conceptos de calidad. Beneficios en las organizaciones. Mapa de proceso Diagramación de procesos. Workflow de procesos. Principio para el diseño de nuevos procesos. Planificación de los procesos. Pensamiento basado en riesgos. Ciclo PDCA.   Objetivos e indicadores: Planificación de los objetivos. Tipo de objetivos. Medición y análisis de los objetivos. Los procesos en la organización. Interrelación en la organización. Cliente interno. Gestión de los recursos. Responsabilidad de la dirección. Gestión de la calidad. Versión 2015 de la norma ISO 9000. Contexto de la organización. Planificación de la documentación. Mejora de los procesos. Identificación de desvíos. Análisis de las causas de los desvíos. Acciones correctivas. Mejora continua de los procesos. Auditoría por proceso. Planificación para la implementación de la norma ISO 9001. Estructura y requisitos normativos. ,,,,,"GESTIÓN DE LA EMPRESA AGRARIA,VENTA DIRECTA,TÉCNICO EN QUALITY ASSURANCE (QA),QUALITY ASSURANCE (QA),QA,QA,USER EXPERIENCE (UX),TÉCNICO EN USER EXPERIENCE (UX),SEGURIDAD E HIGIENE,ENERGÍAS RENOVABLES,GESTIÓN DE ALIMENTOS","NGEQ115 - 2do Año - 2A,NGEQ115 - 2do Año - 2A,NGEQ115 - 2do Año - 2A,NGEQ115 - 2do Año - 2A,NGEQ115 - 2do Año - 2A,NGEQ115 - 2do Año - 2A,NGEQ115 - 2do Año - 2A,NGEQ115 - 2do Año - 2A,NGEQ115 - 1er Año - 2B,NGEQ115 - 2do Año - 2A","Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Específica,Fundamento",PROCESO Y ESTRATEGIA DE MEJORA - 2A-2026,,NaN,NGEQ115,7087,,"2A,2A,2A,2A,2A,2A,2A,2A,2B,2A","2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,1er Año,2do Año",
PROCESOS DE COMUNICACIÓN Y LENGUAJE DE SIGNOS,PROCESOS DE COMUNICACIÓN Y LENGUAJE DE SIGNOS,IPP,IPP,Procesos de Comunicación y Lenguaje de Signos,"Definir y explicar los conceptos fundamentales de la comunicación y la semiología, aplicados al ámbito del diseño y publicidad.
Distinguir dentro de los elementos comunicacionales y de signos, aquellos que sean más relevantes para su aplicación en el mensaje creativo, para el desarrollo de una campaña publicitaria.
Elaborar y simplificar elementos comunicacionales claves, para ser utilizados como mensaje creativo, en una campaña publicitaria moderna e integradora, con el fin de trabajar la esencia del mensaje a promover, en torno a un producto o servicio determinado.
Seleccionar, en base a los conocimientos adquiridos en el transcurso de la asignatura, aquellos mensajes o signos esenciales comunicacionalmente, que finalmente se desarrollarán y aplicarán en los diferentes formatos de una campaña publicitaria moderna e integradora.




","¿Qué es la comunicación? Tipos de comunicación. Lenguaje y comunicación. ¿Qué es la semiología? Definiciones clave entre el proceso de comunicación convencional y proceso de comunicación publicitaria. Elementos claves de la comunicación aplicados al ámbito publicitario actual. Cómo ha evolucionado la comunicación en el ámbito publicitario actual. Fases del proceso comunicacional y signos. ¿De qué manera la Comunicación Lenguaje de Signos aportan al Mensaje Creativo? ¿Qué características diferenciadoras debe tener el Mensaje Creativo desde el punto de vista comunicacional? En el ámbito del lenguaje de signos, cuáles de ellos generan valor a un mensaje dentro de una campaña publicitaria. ¿Cómo desarrollar un proceso de “limpieza” en el mensaje comunicacional? ¿Cómo desarrollar un proceso comunicacional pertinente como aporte a la campaña publicitaria? ¿Cómo elimitar el ruido en la comunicación y signos? Pasos para seleccionar el “elemento clave” en una campaña, desde el punto de vista comunicacional. Herramientas para obtener la idea clave y los elementos de comunicación y signo que lo acompañarán en el proceso comunicacional. Desarrollo de flujo que evidencie el proceso desde su inicio a la culminación con el elemento comunicacional central para la campaña. ",,,,,TÉCNICO EN PUBLICIDAD,"NGEQ081 - 2do Año - 1A,NGEQ081 - 2do Año - 1A","Fundamento,Fundamento",,,,NGEQ081,6199,,"1A,1A","2do Año,2do Año",
PROCESOS DE COSTOS,PROCESOS DE COSTOS,IPP,IPP,Procesos de Costos,"El Resultado General de Aprendizaje, será que el estudiante calcule y analice el tratamiento de los costos en los procesos de producción, de forma óptima los costos indirectos de fabricación. ","Concepto de costo y la importancia en el costo de venta. Concepto de procesos productivos. Elementos del costo, tales como materia prima directa, mano de obra directa y costos indirectos de fabricación (CIF). Métodos de costeo, directo y por absorción. Estructura y asignación de los elementos del costo más los gastos. Opinión en cada cálculo de un proceso productivo. Procesos o departamentos productivos. Análisis de los flujos por unidad. Producción equivalente. Costos unitarios
","Torres, S. A. (2002). Contabilidad de costos: análisis para la toma de decisiones (2a. ed.). Distrito Federal, MÉXICO: McGraw-Hill Interamericana.  
García, J. C. (1996). Contabilidad de costos. (1ª. ed.) Distrito Federal, MÉXICO: McGraw-Hill Interamericana.  
“Contabilidad de Costos”, Gonzalo Sinisterra Valencia. Ecoe Ediciones. 2006  
Polo, B. G. (2017). Contabilidad de costos en la alta gerencia: teórico-práctico (1ª. ed.). Bogotá, Colombia:  Grupo Editorial Nueva Legislación SAS.  
García, J. C. (1996). Contabilidad de costos. (1ª. ed.) Distrito Federal, MÉXICO: McGraw-Hill Interamericana. 
Arredondo, M. G. (2015). Contabilidad y análisis de costos (2ª. ed.).
","Polimeri y coautores. (2009). Contabilidad de costos. Conceptos y aplicaciones para la toma de decisiones (2a. ed.). Ciudad de La Habana, CUBA: Editorial Félix Varela. Pág. 1-35. 
Colectivo de Autores. (2009). Contabilidad de costos 2. Ciudad de La Habana, CUBA: Editorial Félix Varela. Pág. 313 - 331. 
Polo, B. G. (2017). Contabilidad de costos en la alta gerencia: teórico-práctico (1ª. ed.). Bogotá, Colombia:  Grupo Editorial Nueva Legislación SAS. Pág. 204-229. 
",,,"CONTADOR GENERAL,GESTIÓN HOTELERA,TÉCNICO EN CONTROL DE GESTIÓN,CONTADOR AUDITOR,GESTIÓN HOTELERA,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ082 - 2do Año - 2A,NGEQ082 - 2do Año - 1A,NGEQ082 - 2do Año - 2A,NGEQ082 - 2do Año - 1A,NGEQ082 - 2do Año - 1A,NGEQ082 - 2do Año - 1A","Específica,Específica,Específica,Específica,Específica,Específica",,,,NGEQ082,6257,,"2A,1A,2A,1A,1A,1A","2do Año,2do Año,2do Año,2do Año,2do Año,2do Año",
PROCESOS ESTOCÁSTICOS,PROCESOS ESTOCÁSTICOS,IPP,IPP,,,,,,,,,"0380P73A - 4to Año - 1A,0380P73A - 2do Año - 1A","Específica,Específica",,,,0380P73A,6476,,"1A,1A","4to Año,2do Año",
PROCESOS INDUSTRIALES,PROCESOS INDUSTRIALES,IPP,IPP,Procesos Industriales,"El Resultado General de Aprendizaje será que el estudiante comprende y relacione los procesos industriales y las estrategias utilizadas en la optimización, para insertarse en el mundo profesional más fácilmente, logrando liderar soluciones a las problemáticas de su área de desempeño.	","Origen de la Administración Científica. Corrientes de la administración Científica. Frederick Taylor. Henry Ford. Frank Gilberth. Harrington Emerson. Henry Fayol. Peter Drucker. Aportes de Michael Porter a la industria. Primera etapa de la industrialización: Producción de salitre (1880 – 1930). Proceso productivo. La empresa y su clasificación. Sector primario. Sector secundario. Sector terciario. Clasificación de los procesos productivos según continuidad. El proceso y sus componentes. Operación unitaria. Proceso unitario. Proceso. Metabolismo industrial. Eficiencia, eficacia, efectividad y productividad. Indicadores unitarios. Estrategia de proceso productivo. Producción a pedido. Enfoque en el proceso. Producción por lotes. Producción continua. Enfoque en el producto. Personalización masiva. Caso de estudio. Contexto productivo de procesos industriales: Fundamentos y necesidades del mercado. Desarrollo de bienes y servicios: Manufactura y sus generalidades. Procesos productivos y la cadena de suministro. Ámbitos productivos en la actualidad: Minería, celulosa, forestal, energía, siderúrgicos, consumo masivo y servicios, metalmecánica y automotriz. Procesos industriales. Tipos de procesos industriales. Refinación del petróleo. Industria petroquímica. Polímeros. Fabricación de alimentos. Fabricación de pinturas. Equilibrio de los procesos químicos. ","Antón Pérez, J.J., Garijo de Miguel, S (2024). Empresa y administración. Macmillan Iberia, S.A. 

Panceri, Julio (2021). Sustentabilidad: economía, desarrollo sustentable y medioambiente. Editorial Biblos. 

Sandoval Herrera, Juan Andrés (2021). Balances de materia y energía aplicados a la investigación. Publicaciones Universidad de América.  

Baena Pérez, Libia María;  Benítez Lozano, Adrián José; Tamayo Sepúlveda, José Adrián (2022). Manufactura y gestión del ciclo de vida del producto. Instituto Tecnológico Metropolitano
","Pola, Maseda, Ángel. Gestión de la calidad, Marcombo, 1988 (pp. 9 – 17). 

Cuatrecasas, Arbós, Lluís. Gestión de la calidad total, Ediciones Díaz de Santos, 2011 (pp. 575 – 586). 

Arenas, Anny. Sistema de gestión de la calidad según ISO-9000, El Cid Editor apuntes, 2009  (pp. 4 -10). 

Acosta, Robert, et al. Flujograma, El Cid Editor | apuntes, 2009.  
(pp. 4 -15). 

Espósito, M. G. Begonja, S. y Pamparato, M. L. (2018). Introducción a la química: hidrocarburos, alimentos y procesos industriales. Editorial Maipue. Pp. 99-115 https://elibro.net/es/ereader/ipp/138495?page=99 

Calvo, Carbonell, Jordi. Pinturas y recubrimientos: introducción a su tecnología, Ediciones Díaz de Santos, 2009.  

Ysacura, Marlenys, et al. Polímeros y biomoléculas, El Cid Editor | apuntes, 2009. 

Barbosa Moreno, A. Mar Orozco, C. E. y Molar Orozco, J. F. (2019). Manufactura: conceptos y aplicaciones. Grupo Editorial Patria. Pp.14-22. 

Baca, G. (2014). Introducción a la ingeniería industrial. Capítulo 2, Pág. 25 a 52. 

García, Rony. Administración científica, El Cid Editor | apuntes, 2009 (pp. 4- 14). 

Pelayo, Carmen María. Las principales teorías administrativas y sus principales enfoques, El Cid Editor | apuntes, 2009 (pp. 6 -17). 

Ramírez Cardona, Carlos. Fundamentos de administración (3a. ed.), Ecoe Ediciones, 2010 (pp.131 -155). 

Méndez, Delgado, Fernando. Los procesos industriales y el medio ambiente: un nuevo paradigma, Universidad de Ibagué, 2011 (pp. 19 -40). 

Monsalvo, Vázquez, Raúl, and Sánchez, María del Rocío Romero. Balance de materia y energía: procesos industriales, Grupo Editorial Patria, 2014.  
",,,"TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN LOGÍSTICA","TCEQ034 - 2do Año - 2A,TCEQ034 - 2do Año - 2A,TCEQ034 - 2do Año - 2A","Específica,Específica,Específica",,,,TCEQ034,6395,,"2A,2A,2A","2do Año,2do Año,2do Año",
PRODUCCIÓN,PRODUCCIÓN,IPP,IPP,,,,,,,,,"0380P72A - 4to Año - 1A,0380P72A - 2do Año - 1A","Específica,Específica",,,,0380P72A,6475,,"1A,1A","4to Año,2do Año",
PROGRAMACIÓN BÁSICA,PROGRAMACIÓN BÁSICA,IPP,IPP,,,,,,,,,"TCEQ036 - 1er Año - 2A,TCEQ036 - 1er Año - 2A","Específica,Específica",,,,TCEQ036,6494,,"2A,2A","1er Año,1er Año",
PROGRAMACIÓN DE APLICACIONES WEB,PROGRAMACIÓN DE APLICACIONES WEB,IPP,IPP,Programación de Aplicaciones Web,,,,,,,,"TCEQ035 - 2do Año - 1B,TCEQ035 - 2do Año - 1B","Específica,Específica",,,,TCEQ035,6497,,"1B,1B","2do Año,2do Año",
PROGRAMACIÓN DE INTERFACES PARA ERP,PROGRAMACIÓN DE INTERFACES PARA ERP,IPP,IPP,,,,,,,,,"TCEQ037 - 3er Año - 1A,TCEQ037 - 3er Año - 1A","Específica,Específica",,,,TCEQ037,6505,,"1A,1A","3er Año,3er Año",
PROGRAMACIÓN MOBILE,PROGRAMACIÓN MOBILE,IPP,IPP,Programación Mobile,"Adquirir conocimientos de programación de aplicaciones móviles.
Conocer los principales componentes para desarrollar una aplicación en el sistema operativo Android.
Utilizar las herramientas principales del Framework Android Studio.
Manejar conceptos fundamentales del desarrollo Android, Activitys, Intent, Service y Content Provider. 
Desarrollar una aplicación Android (análisis, desarrollo y testing), con foco en la experiencia de usuario.
Implementar y manejar una base de datos SQLite.
Generar un archivo con extensión APK (Android Application Package) que automatice un proceso.",,,,,,PROGRAMACIÓN,"ESP41 - 2do Año - 2B,ESP41 - 2do Año - 2B","Específica,Específica","PROGRAMACIÓN MOBILE - 1B-2025,PROGRAMACIÓN MOBILE - 2B-2026",Finalizado,"NaN, NaN",ESP41,7326,,"2B,2B","2do Año,2do Año",
PROGRAMACIÓN MÓVIL,PROGRAMACIÓN MÓVIL,IPP,IPP,,,,,,,,,"TCEQ038 - 2do Año - 2B,TCEQ038 - 2do Año - 2B","Específica,Específica",,,,TCEQ038,6502,,"2B,2B","2do Año,2do Año",
PROGRAMACIÓN ORIENTADA A OBJETOS,PROGRAMACIÓN ORIENTADA A OBJETOS,IPP,IPP,Programación Orientada a Objetos ,"Al finalizar la asignatura, el estudiante conocerá los conceptos de la Programación y el Diseño Orientado a Objetos que le permitirán la construcción de software reutilizable, escalable, de fácil mantenimiento y de mayor calidad.",,,,,,INGENERÍA EN SISTEMAS,"TCEQ039 - 1er Año - 2B,TCEQ039 - 2do Año - 2A,TCEQ039 - 2do Año - 2A","Específica,Específica,Específica",PROGRAMACIÓN ORIENTADA A OBJETOS - 1B-2025,Finalizado,100%,TCEQ039,6501,,"2B,2A,2A","1er Año,2do Año,2do Año",
PROGRAMACIÓN WEB,PROGRAMACIÓN WEB,IPP,IPP,,,,,,,,PROGRAMACIÓN,ESP27 - 1er Año - 2B,Específica,,,,ESP27,7327,,2B,1er Año,
PROGRAMACIÓN Y SCRIPTING,PROGRAMACIÓN Y SCRIPTING,IPP,IPP,Programación y Scripting,,,,,,,,0441P22 - 1er Año - 1A,Específica,PROGRAMACIÓN Y SCRIPTING - 2A-2025,Finalizado,100%,0441P22,6994,,1A,1er Año,
PROTOCOLO EJECUTIVO,PROTOCOLO EJECUTIVO,IPP,IPP,,,,,,,,,,,,,,NGEQ083,6261,,,,
PROTOTIPADO Y VALIDACIÓN,PROTOTIPADO Y VALIDACIÓN,IPP,IPP,Prototipado y Validación,,,,,,,"USER EXPERIENCE (UX),TÉCNICO EN USER EXPERIENCE (UX)",0393P31 - 2do Año - 1A,Específica,,,,0393P31,7151,,1A,2do Año,
PSICOLOGÍA DEL DESARROLLO,PSICOLOGÍA DEL DESARROLLO,IPP,IPP,,,,,,,,"TÉCNICO EN SERVICIO SOCIAL,GESTIÓN HOTELERA,ACOMPAÑANTE TERAPÉUTICO","0610P42 - 2do Año - 2A,0610P42 - 2do Año - 2A,0610P42 - 1er Año - 1A","Específica,Específica,Específica","PSICOLOGÍA DEL DESARROLLO - 2B-2025,PSICOLOGÍA DEL DESARROLLO - 2A-2026","Finalizado,Pendiente","NaN, 0%",0610P42,6567,,"2A,2A,1A","2do Año,2do Año,1er Año",PSICOLOGÍA DEL DESARROLLO - 2A-2026
PSICOLOGÍA DEL DESARROLLO Y APRENDIZAJE,PSICOLOGÍA DEL DESARROLLO Y APRENDIZAJE,IPP,IPP,Psicología del desarrollo y aprendizaje,"Explicar el desarrollo histórico de la psicología, en relación a sus principales corrientes teóricas y áreas de aplicación, en el ámbito del quehacer educativo.
Aplicar las diferentes teorías psicológicas y su contribución a la educación a situaciones particulares.
Aplica diferentes teorías del desarrollo a casos determinados considerando sus particularidades en el ámbito del quehacer educativo.
Analiza y aplica las principales teorías del aprendizaje en el contexto educativo.",Campo de estudio y aplicación. Perspectiva histórica. Campos de aplicación. Psicoanálisis. Conductismo. Enfoque Humanista. Gestalt. Teoría Psicosexual. Teoría Psicosocial. Teoría Cognitiva. Teoría Desarrollo Moral. Teoría Apego. Concepto de Aprendizaje. Variables del Aprendizaje. Enfoques del Aprendizaje. Neurociencia.,"García González, E. L. (2015). Psicología general (3a. ed.). Grupo Editorial Patria. Pp. 09-17.
Equipo, A. (2009). Principales escuelas en psicología. 10-15, 28-46
Faas, Ana Eugenia. Psicología del desarrollo de la niñez, Editorial Brujas, 2017. Pág. 47-72.
Recalde, María Mercedes. Psicología (3a. ed.), Ediciones del Aula Taller, 2013. Pág. 117-134.
Chadwick, Clifton B. La psicología de aprendizaje del enfoque constructivista, Red Revista Latinoamericana de Estudios Educativos, 2006. Pág. 112-126.
Gallardo, Vázquez, Pedro, and Herrera, José Manuel Camacho. Teorías del aprendizaje y práctica docente, Wanceulen Editorial, 2008. Pp 17-51, 61-74","García González, E. L. (2015). Psicología general (3a. ed.). Grupo Editorial Patria. Pp. 43-48
Feinstein, Sheryl G.. Neurociencia educativa: mente, cerebro y educación, edited by David A. Sousa, Narcea Ediciones, 2016. Pp. 155-189.",,,"TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO,TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL","CSEQ019 - 1er Año - 2A,CSEQ019 - 1er Año - 2A,CSEQ019 - 1er Año - 2A","Fundamento,Fundamento,Fundamento",,,,CSEQ019,6117,,"2A,2A,2A","1er Año,1er Año,1er Año",
PSICOLOGÍA DEL TRABAJO Y ORGANIZACIONES,PSICOLOGÍA DEL TRABAJO Y ORGANIZACIONES,IPP,IPP,Psicología del Trabajo y Organizaciones,,,,,,,CLOUD ADMINISTRATION,NGEQ084 - 2do Año - 2B,Fundamento,PSICOLOGÍA DEL TRABAJO Y ORGANIZACIONES - 2B-2025,Reprogramado,NaN,NGEQ084,6274,,2B,2do Año,
PSICOLOGÍA GENERAL,PSICOLOGÍA GENERAL,IPP,IPP,Psicología General,,,,,,,ACOMPAÑANTE TERAPÉUTICO,"PSGEN01 - 3er Año - 1A,PSGEN01 - 1er Año - 1B","Fundamento,General",,,,PSGEN01,7194,,"1A,1B","3er Año,1er Año",
